tipo,titulo,duracion,artista,letra,album,genero
cancion,Midnight Horizons,4.7,Sebastian Lee,Sample lyrics snippet...,Origins,Pop
cancion,Broken Steps,4.5,Sofia Sanchez,Sample lyrics snippet...,Horizons,Electrónica
cancion,Velvet Flames,4.3,Isabella Wilson,Sample lyrics snippet...,Reflections,Pop
cancion,Lost Voices,4.6,Sofia Jackson,Sample lyrics snippet...,Reflections,Clásica
cancion,Broken Visions,2.7,Charlotte Garcia,Sample lyrics snippet...,Horizons,R&B
cancion,Blazing Memories,3.6,Isabella Johnson,Sample lyrics snippet...,Paradise,Jazz
cancion,Blazing Steps,2.7,Luna Garcia,Sample lyrics snippet...,Silhouettes,Jazz
cancion,Dreaming Mirrors,5.2,Camila Gonzalez,Sample lyrics snippet...,Voyager,Rock
cancion,Shadow Flames,4.0,Mateo Garcia,Sample lyrics snippet...,Voyager,Indie
cancion,Hidden Stars,3.4,Benjamin White,Sample lyrics snippet...,Reflections,R&B
cancion,Lost Lights,5.0,Lucas Sanchez,Sample lyrics snippet...,Voyager,Clásica
cancion,Stormy Rivers,3.2,Oliver Thomas,Sample lyrics snippet...,Horizons,Indie
cancion,Midnight Borders,4.0,Mia Taylor,Sample lyrics snippet...,Echoes,Pop
cancion,Lost Dreams,4.6,Ema Martin,Sample lyrics snippet...,Odyssey,Electrónica
cancion,Lost Paths,2.6,Luna Brown,Sample lyrics snippet...,Silhouettes,R&B
cancion,Broken Visions,2.9,Isabella Martin,Sample lyrics snippet...,Echoes,Reggaeton
cancion,Golden Roads,4.8,Valentina Jackson,Sample lyrics snippet...,Horizons,Indie
cancion,Broken Skies,4.0,Sofia Lee,Sample lyrics snippet...,Odyssey,Clásica
cancion,Stormy Rivers,4.1,Elijah Thompson,Sample lyrics snippet...,Paradise,Reggaeton
cancion,Endless Storms,3.9,Oliver Taylor,Sample lyrics snippet...,Reflections,R&B
cancion,Shadow Stars,2.7,Camila Smith,Sample lyrics snippet...,Paradise,Rock
cancion,Fallen Lights,3.4,Ava Brown,Sample lyrics snippet...,Waves,Rock
cancion,Silent Visions,5.4,Oliver Gonzalez,Sample lyrics snippet...,Voyager,Clásica
cancion,Crimson Steps,4.3,Olivia Thompson,Sample lyrics snippet...,Waves,Jazz
cancion,Fading Storms,3.0,Lucas Gonzalez,Sample lyrics snippet...,Waves,Pop
cancion,Crimson Secrets,4.3,Liam Martin,Sample lyrics snippet...,Odyssey,Hip-Hop
cancion,Blazing Mirrors,4.7,Luna Smith,Sample lyrics snippet...,Silhouettes,Reggaeton
cancion,Broken Voices,5.4,Sofia Moore,Sample lyrics snippet...,Silhouettes,Indie
cancion,Crimson Flames,4.3,Luna Garcia,Sample lyrics snippet...,Origins,Electrónica
cancion,Lost Memories,3.4,Ema Garcia,Sample lyrics snippet...,Voyager,Country
cancion,Electric Visions,3.2,Noah Lee,Sample lyrics snippet...,Horizons,Reggaeton
cancion,Silent Voices,2.8,Sofia White,Sample lyrics snippet...,Odyssey,Country
cancion,Neon Lights,3.7,Sebastian Lee,Sample lyrics snippet...,Paradise,Pop
cancion,Broken Rivers,4.5,Ethan Thompson,Sample lyrics snippet...,Waves,Pop
cancion,Velvet Visions,4.8,Isabella Hernandez,Sample lyrics snippet...,Waves,Country
cancion,Fading Dreams,4.6,Ema Johnson,Sample lyrics snippet...,Voyager,Rock
cancion,Fallen Storms,3.3,Liam Martin,Sample lyrics snippet...,Horizons,R&B
cancion,Crimson Lights,2.9,Mia Thompson,Sample lyrics snippet...,Spectrum,Jazz
cancion,Crimson Lights,3.4,Mia Garcia,Sample lyrics snippet...,Horizons,Reggaeton
cancion,Blazing Stars,2.8,Noah Taylor,Sample lyrics snippet...,Paradise,Rock
cancion,Endless Stars,4.4,Mia Brown,Sample lyrics snippet...,Paradise,R&B
cancion,Lost Mirrors,5.2,Charlotte Moore,Sample lyrics snippet...,Voyager,Pop
cancion,Dreaming Horizons,4.0,Ethan Smith,Sample lyrics snippet...,Horizons,Indie
cancion,Blazing Skies,3.5,Noah Taylor,Sample lyrics snippet...,Silhouettes,Rock
cancion,Wild Skies,4.9,Ethan Jackson,Sample lyrics snippet...,Spectrum,Rock
cancion,Neon Storms,4.9,Ethan Martinez,Sample lyrics snippet...,Reflections,Clásica
cancion,Dreaming Dreams,5.2,Ema Johnson,Sample lyrics snippet...,Echoes,Rock
cancion,Velvet Borders,5.2,Ema Thompson,Sample lyrics snippet...,Paradise,Hip-Hop
cancion,Endless Mirrors,4.8,Isabella Thomas,Sample lyrics snippet...,Reflections,Reggaeton
cancion,Electric Memories,4.1,Ema Lee,Sample lyrics snippet...,Paradise,Country
cancion,Dreaming Secrets,3.4,Sebastian Sanchez,Sample lyrics snippet...,Paradise,Jazz
cancion,Shadow Flames,4.9,Luna Moore,Sample lyrics snippet...,Echoes,Jazz
cancion,Broken Waves,2.6,Camila Anderson,Sample lyrics snippet...,Silhouettes,Reggaeton
cancion,Wild Voices,5.3,Mateo Johnson,Sample lyrics snippet...,Odyssey,Indie
cancion,Velvet Horizons,4.7,Charlotte Lopez,Sample lyrics snippet...,Silhouettes,R&B
cancion,Hidden Hearts,4.7,Benjamin Taylor,Sample lyrics snippet...,Echoes,Electrónica
cancion,Fallen Borders,3.0,Sofia Moore,Sample lyrics snippet...,Reflections,Electrónica
cancion,Hidden Secrets,2.6,Camila Jackson,Sample lyrics snippet...,Voyager,Pop
cancion,Lonely Visions,3.1,Olivia Jackson,Sample lyrics snippet...,Spectrum,Country
cancion,Hidden Steps,3.7,Mia Taylor,Sample lyrics snippet...,Echoes,Reggaeton
cancion,Stormy Flames,3.9,Camila Brown,Sample lyrics snippet...,Echoes,Electrónica
cancion,Neon Echoes,4.3,Oliver Thomas,Sample lyrics snippet...,Waves,Hip-Hop
cancion,Stormy Paths,3.0,Mateo Taylor,Sample lyrics snippet...,Reflections,Electrónica
cancion,Blazing Horizons,3.4,Noah Smith,Sample lyrics snippet...,Horizons,Country
cancion,Crystal Echoes,3.6,Liam Lee,Sample lyrics snippet...,Spectrum,Pop
cancion,Electric Voices,2.7,Sofia Gonzalez,Sample lyrics snippet...,Horizons,Electrónica
cancion,Dreaming Steps,2.7,Mia Anderson,Sample lyrics snippet...,Horizons,Clásica
cancion,Fading Memories,4.9,Luna Thompson,Sample lyrics snippet...,Paradise,Country
cancion,Lonely Rivers,4.8,Olivia Wilson,Sample lyrics snippet...,Odyssey,R&B
cancion,Wild Visions,4.9,Oliver Moore,Sample lyrics snippet...,Paradise,Electrónica
cancion,Golden Visions,4.5,Luna Hernandez,Sample lyrics snippet...,Paradise,Pop
cancion,Lost Voices,3.4,Olivia Lopez,Sample lyrics snippet...,Origins,R&B
cancion,Fallen Memories,2.7,Luna Jackson,Sample lyrics snippet...,Origins,R&B
cancion,Crystal Rivers,4.2,Valentina Sanchez,Sample lyrics snippet...,Odyssey,Pop
cancion,Lost Mirrors,4.2,Mia Perez,Sample lyrics snippet...,Paradise,Clásica
cancion,Golden Stars,5.1,Benjamin Smith,Sample lyrics snippet...,Reflections,Electrónica
cancion,Dreaming Mirrors,5.1,Luna Johnson,Sample lyrics snippet...,Odyssey,Reggaeton
cancion,Velvet Horizons,2.5,Olivia Hernandez,Sample lyrics snippet...,Echoes,Rock
cancion,Hidden Voices,4.4,Ethan Lee,Sample lyrics snippet...,Reflections,Reggaeton
cancion,Neon Echoes,5.3,Mia Martinez,Sample lyrics snippet...,Waves,Electrónica
cancion,Wild Echoes,5.0,Sebastian White,Sample lyrics snippet...,Echoes,Electrónica
cancion,Midnight Paths,5.1,Noah Martinez,Sample lyrics snippet...,Horizons,Hip-Hop
cancion,Broken Visions,4.9,Ethan Garcia,Sample lyrics snippet...,Voyager,Country
cancion,Crimson Steps,2.6,Benjamin Anderson,Sample lyrics snippet...,Reflections,R&B
cancion,Broken Voices,3.1,Oliver Martin,Sample lyrics snippet...,Odyssey,Clásica
cancion,Dreaming Skies,2.6,Ema Thompson,Sample lyrics snippet...,Voyager,Indie
cancion,Blazing Stars,3.5,Ema Perez,Sample lyrics snippet...,Silhouettes,Jazz
cancion,Electric Waves,4.5,Sebastian Perez,Sample lyrics snippet...,Waves,Rock
cancion,Endless Visions,5.4,Sofia Taylor,Sample lyrics snippet...,Voyager,Rock
cancion,Broken Paths,3.5,Isabella Perez,Sample lyrics snippet...,Horizons,Hip-Hop
cancion,Fading Waves,5.2,Sofia Thompson,Sample lyrics snippet...,Horizons,R&B
cancion,Fallen Echoes,3.7,Olivia Moore,Sample lyrics snippet...,Origins,Rock
cancion,Silent Borders,4.1,Luna Jackson,Sample lyrics snippet...,Silhouettes,Jazz
cancion,Lonely Waves,3.4,Benjamin Perez,Sample lyrics snippet...,Paradise,Jazz
cancion,Crimson Storms,3.5,Ema Smith,Sample lyrics snippet...,Paradise,Indie
cancion,Dreaming Dreams,2.8,Sebastian Gonzalez,Sample lyrics snippet...,Echoes,Rock
cancion,Crystal Horizons,5.2,Camila Thompson,Sample lyrics snippet...,Voyager,Rock
cancion,Stormy Lights,4.4,Oliver Taylor,Sample lyrics snippet...,Horizons,Jazz
cancion,Golden Lights,2.7,Mateo Lee,Sample lyrics snippet...,Paradise,Country
cancion,Shadow Secrets,5.3,Mia Garcia,Sample lyrics snippet...,Waves,Rock
cancion,Stormy Memories,4.1,Mia Thompson,Sample lyrics snippet...,Echoes,Country
cancion,Shadow Rivers,5.4,Sebastian Garcia,Sample lyrics snippet...,Spectrum,Jazz
cancion,Neon Stars,2.9,Elijah Martinez,Sample lyrics snippet...,Origins,Pop
cancion,Lost Storms,4.5,Ethan Gonzalez,Sample lyrics snippet...,Horizons,Country
cancion,Electric Hearts,5.3,Ema Jackson,Sample lyrics snippet...,Echoes,Reggaeton
cancion,Midnight Flames,3.7,Oliver Hernandez,Sample lyrics snippet...,Voyager,Rock
